"","logFC","logCPM","LR","PValue","FDR"
"FBti0102121",2.84073928593406,1.87512295256839,82.0021349837825,1.35939758611668e-19,2.14105119813378e-15
"FBti0102105",3.04174288673143,2.79596897843738,64.2629372697751,1.08874672424277e-15,7.32498070386961e-12
"FBti0062856",2.97488157931615,0.75931923217612,63.7742782547302,1.39523441978469e-15,7.32498070386961e-12
"FBgn0013683",-4.45269466415582,3.18859224214645,59.9540603457939,9.70974816641317e-15,3.82321334052519e-11
"FBgn0013680",1.73176112545606,8.8785493111852,46.5247552071779,9.04682856174222e-12,2.8497509969488e-08
"FBti0102113",2.58194241860341,1.04760548882915,40.9916053484379,1.52884486082457e-10,4.01321775966449e-07
"FBgn0028887",6.57559609350646,2.1320494146788,38.9283380937536,4.39651861032677e-10,9.89216687323524e-07
"FBti0062695",10.23504455717,5.41393712380169,31.0535261984647,2.51009901955239e-08,4.94175744474376e-05
"FBti0019213",6.1640730196911,0.477673921361659,29.9571750621194,4.41694422129455e-08,7.72965238726547e-05
"FBti0020101",4.08955377819132,1.53125465474078,24.9875243471034,5.77024761807309e-07,0.000908813999846512
"FBgn0262952",1.08506231542321,10.6720749391611,24.0399570167638,9.43571254182397e-07,0.00135102247757934
"FBgn0266710",1.69894220481136,0.581561323471426,22.9081856237926,1.69926675048963e-06,0.00223028761001763
"FBgn0030829",1.57374564530749,-1.47788534339967,22.4177072584927,2.19342439515613e-06,0.00265741801720839
"FBgn0032636",5.87876666354563,3.7511800310804,19.6107160107525,9.49352405777226e-06,0.0106802145649938
"FBgn0054025",1.99066013866542,1.58927715857784,17.0226439844657,3.69366846166563e-05,0.0387835188474891
